Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-24 13:07:46,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"-3,097.51",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,6,,,,Total Trades,9,,,
,,Win Rate,66.67%,,,,Losing Trades,3,,,
,,Net P&L,"-3,097.51",,,,Gross P&L,"-3,097.49",,,
,,Best Trade,985.79,,,,Profit Factor,0.48,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,"-2,405.47",,,
,,Return %,-3.10%,,,,Final Capital,"96,902.49",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-24 12:20:15,2025-10-24 12:22:45,152.65,158.3,75,423.75,7.59,416.16,Take Profit 1,2
,2,2025-10-24 12:20:15,2025-10-24 12:23:13,152.65,165.9,75,993.75,7.96,985.79,Take Profit 2,2
,3,2025-10-24 12:23:18,2025-10-24 12:24:52,166.3,173.2,75,517.5,8.31,509.19,Take Profit 1,1
,4,2025-10-24 12:23:18,2025-10-24 12:25:45,166.3,172.95,75,498.75,8.29,490.46,Trailing Stop,2
,5,2025-10-24 12:26:50,2025-10-24 12:30:05,166.95,151.55,150,-2310,14.54,-2324.54,Stop Loss,3
,6,2025-10-24 12:32:34,2025-10-24 12:37:10,150.1,155.1,75,375,7.44,367.56,Take Profit 1,4
,7,2025-10-24 12:32:34,2025-10-24 12:40:43,150.1,152,75,142.5,7.29,135.21,Trailing Stop,8
,8,2025-10-24 12:41:58,2025-10-24 12:51:24,151.15,135.2,150,-2392.5,12.97,-2405.47,Stop Loss,9
,9,2025-10-24 12:52:35,2025-10-24 13:07:45,132.15,123.75,150,-1260,11.87,-1271.87,Stop Requested,15
